comportamiento_nombre;nivel_nombre;nivel_valoracion
Independencia;Alto;Muy independiente, puede parecer distante
Independencia;Bajo;Dependiente de su dueño
Independencia;Moderado;Equilibrio entre independencia y afecto
Inteligencia;Alto;Muy inteligente, requiere estimulación mental
Inteligencia;Bajo;Puede requerir paciencia en el entrenamiento
Inteligencia;Moderado;Aprende con facilidad
Nivel de energía;Alto;Requiere mucha actividad y juego
Nivel de energía;Bajo;Puede necesitar más estímulo
Nivel de energía;Moderado;Ideal para la mayoría de los hogares
Nivel de vocalización;Alto;Muy vocal, puede ser ruidoso
Nivel de vocalización;Bajo;Silencioso y discreto
Nivel de vocalización;Moderado;Comunicativo sin ser excesivo
Sociabilidad con humanos;Alto;Muy cariñoso y demandante de atención
Sociabilidad con humanos;Bajo;Puede ser distante o tímido
Sociabilidad con humanos;Moderado;Amigable y afectuoso
Sociabilidad con otros gatos;Alto;Muy sociable con otros gatos
Sociabilidad con otros gatos;Bajo;Prefiere estar solo
Sociabilidad con otros gatos;Moderado;Se lleva bien con otros gatos
