raza;pais;continente
Mau Egipcio;Egipto;África
Abisinio;Etiopía;África
Brasileño de pelo corto;Brasil;América
Esfinge;Canadá;América
Americano de pelo corto;Estados Unidos de América;América
Balinés;Estados Unidos de América;América
Bengalí;Estados Unidos de América;América
Muñeca de trapo;Estados Unidos de América;América
York Chocolate;Estados Unidos de América;América
Persa;Irán;Asia
Japonés cola corta;Japón;Asia
Burmés;Myanmar;Asia
Siamés;Tailandia;Asia
Afrodita;Chipre;Europa
Cartujo;Francia;Europa
Egeo;Grecia;Europa
Bosque de Noruega;Noruega;Europa
Azul Ruso;Rusia;Europa/Asia
Siberiano;Rusia;Europa/Asia
Angora Turco;Turquía;Europa/Asia
